id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uiDUVpMfps,dian prayogo,1 month ago,1557717296154,"Hey Arab Dajjal,lu netral donk KLO jd presenter,bilangin juga bapak lu si kuress Shihab jangan suka menyesatkan umat,SAMPE hati bapak mu bilang nabi Muhammad blm dijamin masuk surga.
Jangan munafik KLO sudah Islam!",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uoi5w2Qh0k,Sabriel Rayan,1 month ago,1557717296156,prabowo itu seperti anak anak...,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8urLshGpdX2,Jeprijpanji,1 month ago,1557717296157,jadi dilaporkan ngak di part 5 menit ke 7-8 ? kalau dilaporkan nih seru!! update donk kabarnya  mba  @najwa shihab,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8ut5Z5j78Wk,Vhh Vhjj,4 weeks ago,1557976496159,Aku cinta dgn acara mbak nana/mata najwa.penonton dr arab saudi.,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uwd6Fd7Vdm,play store,4 weeks ago,1557976496160,Kwkwkwkw lucu lucu om wowo mimpi,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8uyBLNckq05,Boiran Kendang,4 weeks ago,1557976496161,"@Waryono Iyo mau kadal mau tokek,,mau katak,,klo yg u bilng cebong menang,,u mau apa,,klo mslh curang atau tidak,,klo curang buktikan,,oke boz yg merasa pintar ya",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8v-PxLZ28w9,Danil Oleng Oleng,3 weeks ago,1558581296163,Terimakasih kk najwa,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8v-rL9xbUzR,setia budi budi,3 weeks ago,1558581296164,"....... NKRI SADARLAH ....

KPU, 
BAWASLU, 
MK
WAJIB DIKAWAL BAIK BAIK, 
PANTANG DISUSUPI KAKI TANGAN PENGKHIANAT NKRI.
YANG BERSTRATEGY :
#. MEMA'ZULKAN HASIL PEMILU.

BIN, 
POLRI SADARLAH.

NKRI WASKITALAH.",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8v1UfULYZgg,dhelaw heyman,3 weeks ago,1558581296165,mbaknya makin langsing ya.. enak di croot 😆,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8v3sjXMVeKQ,Sudarman Lamongan,3 weeks ago,1558581296167,I like,0
